                Accuracy                ,                r-value                 ,             Benign-correct             ,           Benign-not-correct           ,        DDOS attack-HOIC-correct        ,      DDOS attack-HOIC-not-correct      ,     DDoS attacks-LOIC-HTTP-correct     ,   DDoS attacks-LOIC-HTTP-not-correct   ,     DoS attacks-GoldenEye-correct      ,   DoS attacks-GoldenEye-not-correct    ,        DoS attacks-Hulk-correct        ,      DoS attacks-Hulk-not-correct      ,    DoS attacks-SlowHTTPTest-correct    ,  DoS attacks-SlowHTTPTest-not-correct  ,     DoS attacks-Slowloris-correct      ,   DoS attacks-Slowloris-not-correct    
                 45.00                  ,                   2                    ,                 20721                  ,                 170929                 ,                 68601                  ,                   0                    ,                 29030                  ,                 28589                  ,                  2502                  ,                  1648                  ,                 36740                  ,                  9451                  ,                 13989                  ,                   0                    ,                  884                   ,                  215                   
                 44.52                  ,                   2                    ,                 13835                  ,                 177815                 ,                 68601                  ,                   0                    ,                 29129                  ,                 28490                  ,                  2649                  ,                  1501                  ,                 41589                  ,                  4602                  ,                 13989                  ,                   0                    ,                  864                   ,                  235                   
