           Accuracy           ,        Benign-correct        ,      Benign-not-correct      ,    FTP-BruteForce-correct    ,  FTP-BruteForce-not-correct  ,    SSH-Bruteforce-correct    ,  SSH-Bruteforce-not-correct  
            99.99             ,            38093             ,              1               ,            19336             ,              0               ,            18755             ,              3               
            99.96             ,            38067             ,              27              ,            19336             ,              0               ,            18757             ,              1               
            99.95             ,            38086             ,              8               ,            19336             ,              0               ,            18727             ,              31              
            99.98             ,            38080             ,              14              ,            19336             ,              0               ,            18757             ,              1               
            100.00            ,            38093             ,              1               ,            19336             ,              0               ,            18757             ,              1               
            99.96             ,            38066             ,              28              ,            19336             ,              0               ,            18758             ,              0               
            100.00            ,            38094             ,              0               ,            19334             ,              2               ,            18758             ,              0               
            100.00            ,            38094             ,              0               ,            19336             ,              0               ,            18758             ,              0               
            99.99             ,            38092             ,              2               ,            19335             ,              1               ,            18757             ,              1               
            99.46             ,            37684             ,             410              ,            19335             ,              1               ,            18758             ,              0               
